novo_nome;nome_original;fonte;categoria;descricao;palavras_chave;ambiente;objetos;estilo;iluminacao;pessoas;usos;observacoes
cachorro-deitado-espreguicadeira-vime-toalha-branca-coleira-azul-varanda-fachada-vermelha.jpg;96BB6A6F-3A47-46E6-9E4A-C9A08AC3B5DB - Carolina Balestieri.jpeg;foto-real;Pets;Cachorro de porte medio, pelagem bege com marcas escuras nas costas, deitado de barriga para cima sobre espreguicadeira de vime branca forrada com toalha branca, usando coleira azul clara. Ao fundo, fachada em tom terracota com placas escritas 'DO BEM' e 'ENJOY', plantas em vasos e uma bebida com laranja sobre mesa lateral.;cachorro deitado, espreguicadeira vime, toalha branca, coleira azul, varanda, fachada vermelha, area de lazer, descanso pet, relaxamento, pet friendly, drink laranja, decoracao vime, plantas vasos, sol, dia, conforto canino, cochilo, postura relaxada;area externa - espreguicadeira de vime na varanda/area de lazer, proximo a bar;espreguicadeira/chaise de vime, toalha branca, coleira azul, placas de sinalizacao ao fundo, copo com bebida e laranja;descontraido, lifestyle, aconchegante;luz natural forte, dia ensolarado com sombras marcadas;nenhuma;instagram, site, stories, campanha pet friendly;"arquivo salvo com rotacao de 90 graus - necessario girar antes de usar; boa qualidade apos correcao de orientacao"
golden-retriever-lenco-vermelho-best-backdrop-asas-borboleta-instagram-pousadaleange-jardim-dia.jpg;A374CD8C-BDB5-4460-A266-C41417F489A0 - mariana nucci.jpeg;foto-real;Pets;Golden retriever sentado de frente para a câmera, sorridente com a boca aberta, usando um lenço vermelho bordado com a palavra BEST. Ao fundo, um painel decorativo com asas de borboleta coloridas e a identificação @pousadaleange, usado como cenário de fotos entre árvores.;cachorro, golden retriever, lenco vermelho, bandana, best, asas de borboleta, backdrop, painel decorativo, photo op, instagram, pousadaleange, area externa, jardim, arvores, luz natural, dia, sorridente, lingua de fora, pet grande, cor dourada, vertical, retrato, close, cenografia;Área externa – espaço de fotos com backdrop decorativo (asas de borboleta) em meio a árvores;"lenço/bandana vermelho com bordado ""BEST"", painel de madeira com asas de borboleta pintadas, texto ""@pousadaleange"" com ícone do Instagram";divertido, colorido, aconchegante;luz natural diurna, difusa entre as árvores;nenhuma (apenas o cachorro);instagram, stories, campanha, post estático;"foto vertical, boa qualidade, ideal para destacar experiência pet-friendly e photo opp da pousada; sem distrações relevantes no fundo"
vista-aerea-tanque-pedra-rustico-mulher-biquini-dois-golden-retriever-molhados-borda-jardim-dia.jpg;A44F0F5D-BDC3-4EF2-A544-C2218ACA0158 - Renata Andrade.JPG;foto-real;Piscina & Lazer;Vista aérea de um tanque circular de pedra/tijolo com água corrente, onde uma mulher de biquíni está sentada na água enquanto dois golden retrievers molhados observam da borda. Ao redor, vegetação densa e jardim ensolarado.;tanque de pedra, banheira rustica, agua corrente, vista aerea, mulher, biquini, dois cachorros, golden retriever, molhados, borda de tijolo, jardim, arvores, vegetacao densa, natureza, dia ensolarado, luz natural, area externa, lazer, spa natural, vertical, pet grande, cor dourada, agua transparente;Área externa – tanque/banheira de pedra rústica em meio ao jardim, com fonte de água corrente;tanque circular de pedra e tijolo, jato/fonte de água, biquíni estampado;rústico, natureza, tranquilo;luz natural diurna, sol direto;mulher;instagram, site, campanha, story;foto vertical em ângulo aéreo (provável drone), boa qualidade, mostra estrutura de lazer alternativa à piscina principal
mulher-bone-dois-golden-retriever-molhados-grama-lago-vista-serra-montanha-ceu-azul-dia.jpg;AAF24210-9C7D-4167-A85F-72B44D5406FF - ANNA CAROLINA TEIXEIRA PINTO.jpg;foto-real;Natureza & Paisagem;Mulher ajoelhada na grama, usando boné e biquíni, ao lado de dois golden retrievers molhados sentados/deitados. Ao fundo, um lago de água barrenta, gramado amplo, cadeiras de jardim e a serra coberta de vegetação sob céu azul com nuvens.;mulher, bone, dois cachorros, golden retriever, molhados, lingua de fora, grama, jardim amplo, lago, vista serra, montanha, vegetacao, ceu azul, nuvens, dia ensolarado, luz natural, cadeira branca, banco, paisagem, natureza, area externa, vertical, pet grande, cor dourada;Área externa – gramado amplo às margens de um lago, com a serra ao fundo;boné, óculos de sol, lago, cadeiras de jardim;natureza, descontraído, sofisticado;luz natural diurna, sol forte, céu com nuvens;mulher;instagram, site, banner, campanha, story;foto vertical, boa qualidade, ótima para destacar a vista da serra e a experiência com pets no gramado
golden-retriever-borda-piscina-vista-dividida-meia-agua-fachada-casarao-vinho-serra-varanda-dia.jpg;B7B8AAC1-3B78-45F4-AAD2-1314FED8518F.jpg;foto-real;Piscina & Lazer;"Fotografia em split shot (meio a meio) feita de dentro da piscina: na metade inferior, água azul-turquesa transparente; na metade superior, um golden retriever em pé na borda observando a água, com a fachada do casarão em tom vinho da pousada e a serra ao fundo.";cachorro, golden retriever, piscina, split shot, meia agua, vista dividida, fachada, casarao, cor vinho, varanda, redes, vista serra, montanha, ceu azul, nuvens, dia ensolarado, luz natural, area externa, lazer, pet grande, cor dourada, vertical, arquitetura, sombrinha;Piscina externa com vista para a fachada principal da pousada e a serra;piscina, guarda-sol, redes na varanda, vasos, fachada em tom vinho com janelas;sofisticado, natureza, cenográfico;luz natural diurna, sol forte, céu com nuvens;nenhuma (apenas o cachorro);instagram, site, banner, campanha;foto vertical, efeito split shot (câmera meio submersa), boa qualidade, mostra piscina e fachada principal simultaneamente
cachorro-caramelo-vira-lata-prancha-stand-up-paddle-piscina-suites-fachada-vermelha-dia-ensolarado.jpg;C59F6090-8955-4079-8511-24383AAF1DDD.jpg;foto-real;Piscina & Lazer;Cachorro de porte médio, pelagem caramelo, sentado sobre uma prancha de stand up paddle flutuando na piscina, com a língua de fora. Ao fundo, a fachada vermelha das suítes, cadeiras brancas de piscina e a serra.;cachorro, vira-lata, porte medio, caramelo, prancha, stand up paddle, flutuando, piscina, lingua de fora, coleira, suites, fachada vermelha, cadeiras brancas, arvore, serra, ceu azul, dia ensolarado, luz natural, area externa, lazer, vertical, pet medio;Piscina externa em frente às suítes;prancha de stand up paddle, coleira, cadeiras de piscina, fachada das suítes;divertido, descontraído;luz natural diurna, sol forte, céu azul;nenhuma (apenas o cachorro);instagram, site, story, campanha;"foto vertical, boa qualidade; cachorro de porte médio (não golden retriever), reforça a aceitação de pets sem restrição de porte/raça"
tres-golden-retriever-molhados-piscina-brinquedo-flutuante-lingua-de-fora-jardim-flores-roxas-dia.jpg;DSC06953.jpeg;foto-real;Piscina & Lazer;"Três golden retrievers molhados, lado a lado, dentro da piscina, com as línguas de fora. Uma mão segura um brinquedo flutuante próximo à superfície da água; ao fundo, vasos com flores roxas e vegetação.";tres cachorros, golden retriever, molhados, piscina, lingua de fora, brinquedo flutuante, mao, vasos, flores roxas, jardim, vegetacao, luz natural, sombra, dia, area externa, lazer, pet grande, cor dourada, vertical, grupo de cachorros, coleira;Piscina externa, próxima a jardineiras com flores roxas;brinquedo flutuante colorido, coleiras, vasos com flores roxas;divertido, aconchegante;luz natural diurna, contraluz/sombra parcial;nenhuma (uma mão segurando o brinquedo aparece no canto da imagem, sem identificação);instagram, site, campanha, story;"foto vertical, boa qualidade; imagem em grupo de três cachorros é rara e valiosa para mostrar múltiplos pets na piscina"
golden-retriever-molhado-saindo-piscina-brinquedo-amarelo-boca-borda-deck-madeira-dia-ensolarado.jpg;DSC07207.jpeg;foto-real;Piscina & Lazer;Close-up de um golden retriever molhado saindo da piscina com um brinquedo mordedor amarelo na boca, apoiando a pata na borda de pedra. Água azul-turquesa ao fundo e deck de madeira ao lado.;cachorro, golden retriever, molhado, piscina, brinquedo amarelo, mordedor, boca, saindo da agua, borda de pedra, deck de madeira, agua turquesa, close, acao, dia ensolarado, luz natural, area externa, lazer, pet grande, cor dourada, vertical, movimento;Borda da piscina externa, com deck de madeira;brinquedo mordedor amarelo com alça, borda de pedra, deck de madeira;dinâmico, divertido;luz natural diurna, sol forte, reflexos na água;nenhuma (apenas o cachorro);instagram, site, story, campanha;"foto vertical, boa qualidade; ótimo close de ação para reforçar a diversão dos pets na piscina"
cachorro-border-collie-preto-branco-atravessando-riacho-agua-barrenta-natureza-dia.jpg;DSC07673.jpeg;foto-real;Pets;Cachorro border collie preto e branco atravessa um riacho de água barrenta, cercado por vegetação verde na margem. Cena ao ar livre, sem pessoas visíveis, luz natural de dia.;cachorro, border collie, cao pastor, riacho, rio, agua barrenta, natureza, vegetacao, margem, peitoral azul, harness, molhado, aventura pet, trilha, ar livre, plano aberto, vertical, dia ensolarado, luz natural, sem pessoas;area externa - riacho/rio na natureza, fora da estrutura da pousada;riacho, vegetacao, peitoral/harness azul petroleo;natureza, aventura, espontaneo;luz natural de dia, sol direto;nenhuma;instagram, stories, conteudo pet aventureiro, site;"Orientacao vertical. Agua do riacho turva/barrenta pode limitar uso em pecas que exijam agua cristalina; boa para conteudo de aventura/trilha do pet."
cachorro-border-collie-close-riacho-peitoral-azul-boca-aberta-pessoas-desfocadas-fundo.jpg;DSC07720.jpeg;foto-real;Pets;Close de cachorro border collie preto e branco parado em riacho de agua barrenta, usando peitoral azul petroleo, boca aberta ofegante. Ao fundo, desfocados, adultos (pernas e maos visiveis) segurando outro cachorro preto de pelo encaracolado.;cachorro, border collie, close-up, riacho, agua barrenta, peitoral azul, harness, molhado, natureza, boca aberta, ofegante, pessoas desfocadas, fundo desfocado, segundo cachorro, pelo encaracolado, vertical, dia, luz natural, aventura pet, expressao;riacho/rio natural, area externa fora da pousada;peitoral azul petroleo, riacho, vegetacao;natureza, close-up, espontaneo;luz natural de dia;adultos desfocados ao fundo (pernas e maos), segurando outro cachorro;instagram, stories, perfil pet, conteudo experiencia pet;"Vertical. Pessoas aparecem desfocadas ao fundo segurando outro cachorro; boa opcao de close para destacar expressao do cao."
mulher-cachorro-branco-balanco-suspenso-jardim-vista-serra-dia-ensolarado.jpg;E289F75D-58BC-426A-91E1-99533C2236FC - Beatriz Cunha.JPEG;foto-real;Áreas Comuns & Lounge;Mulher de oculos escuros e regata azul sentada em um balanco suspenso de tecido listrado azul e branco, sob pergolado coberto de trepadeira verde, segurando no colo um cachorro branco de porte medio/grande. Ao fundo, jardim gramado com vista para a serra e um pequeno chale esverdeado.;balanco suspenso, rede, pergolado, trepadeira, jardim, gramado, vista serra, montanha, mulher, oculos de sol, cachorro branco, porte medio, colo, relax, aconchegante, area externa, lazer, almofadas listradas, dia ensolarado, luz natural quente, pet friendly, hospede com pet;area externa - balanco/rede suspensa sob pergolado com trepadeira, jardim;balanco suspenso, almofadas listradas azul e branco, pergolado, trepadeira verde, oculos de sol, chale/casa esverdeada ao fundo;aconchegante, relax, natureza;luz natural quente, dia ensolarado;mulher sentada, com cachorro branco de porte medio-grande no colo;instagram, site, banner, campanha pet friendly, area de lazer;Vertical, boa composicao para destacar area de lounge com vista para a serra. Espaco negativo na folhagem superior favorece uso em banner.
casal-piscina-dois-cachorros-brancos-porte-pequeno-fachada-vermelha-janelas-amarelas-dia.jpg;F0E6AD0B-B190-4B0F-A78B-BEA523105280 - danny gcf.jpeg;foto-real;Piscina & Lazer;Casal dentro da piscina, cada um segurando um cachorro pequeno de pelagem branca, ambos molhados. Piscina com borda de azulejo azul escuro, guarda-sol branco e fachada de predio vermelho/terracota com janelas amarelas ao fundo.;piscina, casal, cachorro pequeno, cachorro branco, molhado, dois cachorros, fachada vermelha, janelas amarelas, guarda-sol, azulejo azul, dia ensolarado, ceu azul, sorrindo, pet friendly, hospedes com pets, lazer aquatico, area externa, verao, oculos, relogio;piscina externa da pousada;piscina, azulejo azul, guarda-sol branco, fachada vermelha/terracota, janelas amarelas, cadeiras brancas;descontraido, alegre, pet friendly;luz natural de dia, sol forte, ceu azul;casal (homem e mulher), sorrindo, cada um segurando um cachorro pequeno;instagram, site, campanha pet friendly, anuncio, banner;"Vertical. Boa foto para ilustrar piscina pet friendly com hospedes; dois cachorros pequenos brancos e molhados."
cachorro-preto-porte-medio-prancha-flutuante-piscina-close-sorrindo-peitoral-azul-amarelo.jpg;F58AD56F-A8EB-45A8-A288-8C1A7C271609 - Thaís Rodrigues.jpeg;foto-real;Piscina & Lazer;Close de cachorro preto de porte medio, com peitoral/coleira azul e amarelo, boca aberta sorrindo, em cima de prancha flutuante estampada azul e laranja dentro da piscina. Ao fundo, outro cachorro preto e branco aparece saltando/nadando, e pessoas na piscina desfocadas.;cachorro preto, porte medio, piscina, prancha flutuante, boia, estampa azul e laranja, close-up, boca aberta, sorrindo, peitoral azul e amarelo, molhado, segundo cachorro, preto e branco, pessoas ao fundo, dia ensolarado, luz natural, diversao, pet na piscina, plano fechado, cachorro feliz;piscina externa da pousada;prancha flutuante estampada azul e laranja, peitoral azul e amarelo, piscina, segundo cachorro ao fundo, pessoas desfocadas ao fundo;divertido, dinamico, close-up;luz natural de dia, sol forte;pessoas desfocadas ao fundo, na piscina;instagram, stories, conteudo pet na piscina, reels thumbnail;"Arquivo salvo com orientacao girada (cachorro aparece na diagonal); necessita rotacao/recorte para uso vertical padrao. Boa para close expressivo."
mulher-cachorro-marrom-prancha-flutuante-piscina-casarao-vermelho-vista-serra.jpg;IMG_0014.JPG;foto-real;Piscina & Lazer;Mulher sentada na borda da piscina faz carinho em um cachorro marrom grande que esta em cima de uma prancha flutuante estampada azul e laranja. Outro cachorro marrom, menor, aparece ao fundo na mesma prancha. Ao fundo, casarao vermelho/terracota de dois andares com telhado, guarda-sois brancos e vista para a serra.;piscina, mulher, cachorro marrom, prancha flutuante, boia estampada, casarao vermelho, fachada terracota, telhado, guarda-sol branco, vista serra, montanha, ceu azul, dia ensolarado, tatuagem, carinho, dois cachorros, segundo cachorro marrom, borda da piscina, area externa, pet friendly;piscina externa da pousada, com casarao ao fundo;prancha flutuante estampada azul e laranja, piscina, casarao vermelho/terracota, telhado, guarda-sois brancos, vista serra, tatuagem no braco;afetivo, natural, espontaneo;luz natural forte, dia ensolarado, ceu azul com poucas nuvens;mulher sentada na borda da piscina, com tatuagem no braco, fazendo carinho no cachorro;instagram, site, campanha pet friendly, banner institucional;"Vertical. Mostra fachada da pousada, vista da serra e experiencia pet-friendly ao mesmo tempo; boa candidata a banner por composicao ampla."
mulher-piscina-cachorro-border-collie-pulando-borda-casarao-vermelho-portas-amarelas.jpg;IMG_0022.JPG;foto-real;Piscina & Lazer;Mulher nadando na piscina levanta os bracos para brincar com um cachorro border collie preto e branco de olhos claros que salta na borda. Ao fundo, outro cachorro marrom observa parado, e o casarao vermelho/terracota da pousada aparece com portas amarelas e placa 'ENJOY'.;piscina, mulher nadando, cachorro border collie, preto e branco, olhos claros, pulando, borda da piscina, brincadeira, segundo cachorro marrom, casarao vermelho, portas amarelas, placa enjoy, guarda-sol fechado, montanha, dia nublado, acao, movimento, pet ativo, diversao aquatica, hospede com pet;piscina externa da pousada;casarao vermelho/terracota, portas amarelas, placa enjoy, guarda-sois brancos fechados, piscina, montanha ao fundo;dinamico, brincadeira, acao;luz natural de dia, parcialmente nublado;mulher nadando, levantando os bracos em direcao ao cachorro;instagram, reels, stories, conteudo pet brincando, site;"Vertical. Cachorro capturado em movimento saltando, boa para reels/carrossel de dinamismo; segundo cachorro marrom ao fundo observando parado."
rede-suspensa-rio-homem-cachorro-branco-mata-dia-ensolarado.jpg;IMG_0025.JPG;foto-real;Hóspedes & Experiência;Homem sentado em uma rede de corda suspensa sobre um rio de água transparente, ao lado de um cachorro branco de porte médio, ambos sorrindo, cercados por mata fechada e rochas.;rede, rede suspensa, rio, agua transparente, mata, floresta, trilha, natureza, cachorro branco, cachorro porte medio, homem, oculos de sol, aventura, lazer ao ar livre, pet friendly, dia ensolarado, luz natural, rochas, verde, corda azul, hospede com pet, sorriso, atividade externa, serra, horizontal, plano aberto;área externa, rio/trilha na mata;rede de corda, rochas, cordas de amarração;natureza, aventura, aconchegante;luz natural, dia ensolarado;"homem, oculos escuros; cachorro branco de porte medio";instagram, site, campanha, story;imagem horizontal, boa qualidade, sem distrações relevantes no fundo
